idCaracteristica	nombre	nombre_castellano
CAR00037	بليغ	retórico
CAR00003	حافظ	memorión
CAR00006	زاهد	asceta
CAR00007	ثقة	fiable
CAR00008	صالح	virtuoso
CAR00009	قليل الحفظ	de escasa memoria
CAR00010	منكر الحديث	rechazable en el ḥadīṯ
CAR00011	نبيه البيت	de familia noble
CAR00012	جليل القدر	honorable, de gran dignidad
CAR00013	ضابط	preciso, exacto, fidedigno
CAR00014	دين	religioso
CAR00015	فاضل	virtuoso
CAR00016	عفيف	casto
CAR00019	عادل	persona de moral recta
CAR00020	نبيل	noble
CAR00022	حسن السيرة	de buena conducta
CAR00023	عابد	piadoso/devoto
CAR00024	خاشع	devoto
CAR00025	متدين	devoto
CAR00026	أحد الأبدال	uno de los santos
CAR00027	ورع	escrupulosidad religiosa
CAR00028	عاقل	inteligente
CAR00029	الزهد	ascetismo
CAR00031	الانقباض	retiro
CAR00032	العبادة	piedad
CAR00034	عارف	sabio
CAR00035	متصرف	experto, hábil
CAR00036	مجاب الدعوة	persona cuyas plegarias son atendidas o que posee capacidad de hacer milagros
CAR00038	فصيح اللسان	elocuente
CAR00039	منقبض	retirado/abstenido
CAR00040	بصير	experto
CAR00041	متواضع	humilde
CAR00042	مقدم	destacado
CAR00043	متفنن	polifacético
CAR00044	النباهة	renombre
CAR00045	ضعيف	poco fiable
CAR00046	ناسك	devoto, asceta
CAR00047	مجاهد	esforzado en la defensa de la religión
CAR00048	متصوف	sufí, místico
CAR00049	متقشف	austero
CAR00050	عني الرواية	interesado en la transmisión
CAR00051	عني بطلب العلم / من أهل العناية بالعلم	interesado en el saber
CAR00052	الصلاح	Integridad
CAR00053	زهد	ascetismo
CAR00054	نسك	piedad, devoción
CAR00055	الكذب	falta de fiabilidad
CAR00056	صدوق	verídico
CAR00057	من بيت العلم والنباهة	de familia dedicada al saber e ilustre
CAR00058	من بيت علم ورواية	de familia dedicada al saber y la transmisión
CAR00060	عدل	recto, justo
CAR00061	من بيت العلم	de familia dedicada al saber
CAR00062	لسن	elocuente
CAR00063	فهم	Inteligencia, comprensión
CAR00064	كثير التلاوة للقرآن	lector asiduo del Corán
CAR00065	عالم	sabio en las ciencias religiosas
CAR00066	مجتهد	esforzado en el análisis
CAR00067	أعرج	cojo
CAR00068	عفيفة	virtuosa
CAR00069	محتسب	censor de costumbres
CAR00070	فقر	austeridad
CAR00071	إقلال	sobriedad
CAR00072	قوام	velador
CAR00073	صوام	ayunador
CAR00074	نزيه	alejado del mundo
CAR00075	ذكي	inteligente
CAR00076	من أهل العلم	persona de ciencia
CAR00077	المروءة	cualidades nobles del varón
CAR00078	من أهل الزهد	asceta
CAR00079	إنصاف	justicia, equidad
CAR00080	الرواية	la transmisión
CAR00081	مغفّل	descuidado
CAR00082	خيّر	bondadoso
CAR00083	لين	amable
CAR00084	طاهر	casto, virtuoso
CAR00085	ثبت	fidedigno
CAR00086	حسن التصرّف	arbitrio, discreción
CAR00087	مُصَلّ	orante
CAR00088	قليل العلم	de escaso saber
CAR00089	وقور	digno, respetable
CAR00090	مهيب	venerable
CAR00091	متصاون	Honesto
