idCargo	nombre	nombre_castellano
CRG00001	إمام	director de la oración
CRG00002	خطيب	encargado del sermón
CRG00003	صاحب الأحباس	encargado de la administración de los legados píos
CRG00004	صاحب الأحكام	magistrado de categoría inferior al cadí
CRG00109	مؤذن	almuédano
CRG00006	صاحب الرد	magistrado especial de revocación
CRG00007	صاحب السوق	zabazoque, encargado del zoco
CRG00008	صاحب الشرطة	zabalzorta, encargado de la policía y del orden público
CRG00010	صاحب الصلاة	encargado de la oración preceptiva
CRG00011	صاحب المواريث	encargado de la jurisdicción sobre las herencias
CRG00012	صاحب الوثائق	encargado de los documentos oficiales
CRG00013	طبيب	médico
CRG00014	عامل	gobernador
CRG00015	قائد	general
CRG00016	قاضي	cadí, juez
CRG00017	قاضي الجماعة	juez supremo
CRG00018	قاضي العسكر	jefe del ejército
CRG00019	قاضي القضاء	juez supremo
CRG00020	كاتب	secretario, escribano
CRG00021	كاتب الإنشاء	secretario de la cancillería
CRG00022	مشاور	consejero del cadí
CRG00023	مفتي	muftí
CRG00025	نائب	juez sustituto
CRG00028	وزير	visir, ministro
CRG00035	صاحب الشورى	jefe del consejo consultivo del cadí
CRG00039	صاحب الخطبة	encargdo del sermón, ḫaṭīb
CRG00110	صاحب الصلاة والخطبة	encargado de la oración preceptiva y del sermón
CRG00044	طبيب الدار السلطانية	médico de la casa real
CRG00045	صاحب صلاة الفريضة	encargado de la oración preceptiva
CRG00050	صاحب الوثائق السلطانية	encargado de los documentos de la cancillería
CRG00052	رئيس	preboste; persona preeminente
CRG00057	مشاور في الأحكام	consejero del cadí
CRG00111	صاحب أحكام القضاء	magistrado de categoría inferior al cadí
CRG00107	خليفة	califa
CRG00065	صاحب الحسبة	encargado de controlar los pesos y medidas y el funcionamiento del zoco. Muḥtasib
CRG00068	أمير	emir
CRG00070	صاحب الإشارة	NA
CRG00074	إمام الفريضة	director de la oración preceptiva
CRG00105	قاضي الحضرة	cadí de la capital
CRG00076	نائب الأحكام	sustituto del ṣāḥib al-aḥkām
CRG00080	والي البحر	jefe de la flota
CRG00083	قاضي الخلاقة/قاضي الجماعة	juez supremo
CRG00084	قاضي المناكح	magistrado encargado de los matrimonios
CRG00106	أمين	alamín, administrador
CRG00087	رأس الشورى	jefe del consejo consultivo del cadí
CRG00088	صاحب المظالم	encargado de la magistratura de apelación
CRG00090	حاكم	magistrado de categoría inferior al cadí
CRG00093	ولي الإشراف	Encargado de la Inspección (esp. en asuntos económicos)
CRG00096	صاحب احكام المظالم	encargado de la magistratura de apelación
CRG00101	والي	gobernador
CRG00112	صاحب المناكح	redactor de actas matrimoniales
CRG00113	صاحب الشرطة العليا	jefe de la policía superior
CRG00114	حاجب	chambelán
CRG00115	محتسب	NA
