idLugar	FLAG_alandalus	nisba	major_toponym	nombre	nombre_castellano	lat	lng	idLugarALT
LUG00653	1	الطبري		طبرة [بغربي إشبيلية]	Tomares ???	37.373889	-6.045	إشبيلية
LUG00853	1	الفحصي		فحص البيرة	Vega de Elvira	37.2204	-3.723	
LUG00133	1	القونكي		قونكة	Cuenca	40.071667	-2.135	
LUG00017	1	الشقري		جزيرة شقر	Alcira	39.15	-0.435	
LUG00031	1	البلنسي		بلنسية	Valencia	39.466667	-0.375	
LUG00242	1	NA		الجزائر الشرقية / جزائر في شرق الأندلس	Islas Baleares	39.5	3	
LUG00680	1	الشبارتي		شبارت / شبرت	Alcalá de Chivert ?	40.304167	0.225	
LUG00404	0	الأشيري		أشير	Achir	35.944	3.284	
LUG01452	0	الالقسطنطيني		القسطنطينية	Constantinopla	41.013611	28.955	
LUG01475	0	المنسي		تل منس	Talmenes	35.638	36.739	
LUG01534	1	الألتاوي		ألتاية	Altea	38.6	-0.048889	
LUG00547	1	البرياني		بريانة	Burriana	39.8895586	-0.0842113	
LUG01409	1	NA		باغه دانية	Pego	38.843056	-0.1175	
LUG00437	1	الزناتي		زناتة / زنيتة (قرية)	Adzaneta / Zeneta	38.8355079	-0.170556	
LUG00951	1	NA		وادي لشت	Guadalest	38.67431	-0.19489	
LUG01292	1	الشوني		شون (بلنسية)	Uxó	39.847772	-0.226408	
LUG00716	1	القلني		قلنة	Calanda	40.939464	-0.231561	
LUG00743	1	البالمي		بالمة_قرية [من جزء بيران]	Palma de Gandía	38.957265	-0.243409	
LUG01187	1	القلييري		قلييرة	Cullera	39.1631959	-0.2537897	
LUG00215	1	الأندي		أندة	Onda	39.96513	-0.2625949	
LUG00086	1	المرباطري		مربيطر / مرباطر (حصن)	Sagunto/Morviedro	39.676389	-0.273333	
LUG00652	1	البلالي		بلاله [قرية بشاطبة]	Vilella	38.915278	-0.285833	
LUG01076	1	الأنيشي		أنيشة / أبيشة	Puig de Santa María (Puig de la Cebolla / Enesa)	39.589589	-0.303056	
LUG00747	1	الرغاطي		رغاط	Rugat	38.8797731	-0.3615962	
LUG01229	1	NA		رصافة بلنسية	Ruzafa de Valencia	39.4625	-0.3719444	
LUG01097	1	الأسيلي		أسيلة	Silla?	39.361784	-0.410349	
LUG00571	1	المنصفي		‎المنصف [قرية بغربي بلنسية]	Almusafes	39.292433	-0.413858	
LUG01532	1	NA		منزل عطاء	Mislata	39.474736	-0.416029	
LUG00071	1	الوشقي		وشقة	Huesca	42.133333	-0.416667	
LUG01445	1	البطرني		بطرنة	Paterna	39.503376	-0.437099	
LUG00354	1	القسنطاني		قسطنطانية / قسنطانية	Cocentaina	38.7451583	-0.4396248	
LUG01528	1	المتيطي		متيطة	Matet	39.937722	-0.468729	
LUG00785	1	البقساني		بقسانة	Picassent?	39.3404337	-0.4691097	
LUG00519	1	اللقنتي		لقنت	Alicante	38.345278	-0.483056	
LUG00304	1	الشبربي		شبرب	Segorbe	39.848591	-0.488394	
LUG00978	1	الكولي		كولية	La Alcudia	39.195833	-0.507222	
LUG01016	1	الأغرشي		أغرش/أبرش	Agres	38.779722	-0.516111	
LUG00019	1	الشاطبي		شاطبة	Játiva	38.988729	-0.519154	
LUG00251	1	الشارقي		شارقة	Jérica	39.911829	-0.571227	
LUG00484	1	الأشبري		أشبرة	Osera de Ebro?	41.534361	-0.580646	
LUG00356	1	اللري		لرية	Liria	39.625829	-0.59611	
LUG01149	1	الأنتنياني		أنتنيان	Onteniente	38.8220593	-0.6063927	
LUG01023	1	البكيراني		بكيران	Bocairente	38.7561207	-0.6204165	
LUG00210	0	الوهراني		وهران	Orán	35.696944	-0.633056	
LUG01288	1	الاشتركوىي		اشتركوى	Estercuel	40.8546366	-0.6334462	
LUG00945	1	الالشي		الش (كورة)	Elche (cora)	38.266944	-0.698333	
LUG00097	1	الألشي		ألش	Elche	38.266944	-0.698333	
LUG00661	1	البلشيدي		بلشيد / بلشيذ / بلجيطيه  [عمل سرقسطة]	Belchite	41.304755	-0.75502	
LUG01147	1	البنيولي		بنيول	Buñol	39.424357	-0.786317	
LUG00260	1	الشريوني		شريون	Sarrión	40.141511	-0.814251	
LUG00497	1	البلياني		بليانة	Villena	38.635	-0.865833	
LUG01383	1	القليوشي		قليوشة	Callosa	38.119863	-0.87664	
LUG00010	1	السرقسطي		سرقسطة	Zaragoza	41.65	-0.883333	
LUG00449	1	البقصري		بقصرة	Bigastro	38.0610751	-0.8949293	
LUG00126	1	الأريولي		أوريولة / أريولة / أريول	Orihuela	38.085556	-0.946944	
LUG00447	1	القرطاجني		قرطاجنة	Cartagena	37.6256827	-0.9965839	
LUG00687	1	البونتي		البونت (حصن، قلعة)	Alpuente	39.875556	-1.013611	
LUG00858	1	NA		جبل عمرو	Javalambre	40.075	-1.0647222	
LUG00373	1	الايالهي		اياله [من قبلي مرسية]	Ayelo ?	37.95	-1.083333	
LUG01372	1	اليكي		يكة	Yecla	38.6122134	-1.110112	
LUG00889	1	اللغوني		لغون [من عمل سرقسطة]	Alagón ?	41.766667	-1.116667	
LUG00835	1	الحرالي		حرالة	Alarilla	37.9778	-1.1204	
LUG00140	1	التدميري		تدمير	Tudmīr	37.986111	-1.130278	
LUG00018	1	المرسي		مرسية	Murcia	37.986111	-1.130278	
LUG00085	0	الحبيبي		جزيرة حبيبة	Isla Ḥabība	35.724722	-1.133333	
LUG00456	1	القتندي		قتندة	Cutanda	40.932894	-1.183195	
LUG01135	1	الكتندي		كتندة	Cutanda	40.932894	-1.183195	
LUG01274	1	المليني		ملينة	Molina	38.05402	-1.213274	
LUG01353	1	الالفهميني		الفهمين	Alfamén	41.438364	-1.243173	
LUG01494	1	الروطي		روطة (الثغر الأعلى)	Rueda de Jalón	41.633103	-1.274734	
LUG00146	0	التلمساني		تلمسان/ تلمسين	Tremecén	34.882778	-1.316667	
LUG01256	1	الجملي		جملة	Jumilla	38.47939	-1.324162	
LUG01159	1	الرقوطي		رقوط	Ricote	38.1536867	-1.365613	
LUG00725	1	الركلي		ركلة	Ricla	41.5057479	-1.402413	
LUG00641	1	الدورقي		دروقة / دورقة	Daroca	41.11319	-1.416951	
LUG01188	1	NA		الحمة [من أعمال مرسية]	Alhama de Murcia	37.851389	-1.426389	
LUG00119	1	الشنتمري		شنتمرية الشرق	Albarracín	40.405312	-1.444032	
LUG00934	0	الأرشقولي		أرشقول	Rachgoun	35.323958	-1.479767	
LUG00875	1	NA		برجة [سرقسطة]	Borja	41.83654	-1.528127	
LUG01239	1	المولي		مولة	Mula	38.0951412	-1.5596117	
LUG00152	1	التطيلي		تطيلة	Tudela	42.065278	-1.606667	
LUG00106	1	NA		قلعة أيوب	Calatayud	41.35	-1.633333	
LUG00709	1	البطرقولي		بطرور / بطرقول	Paracuellos de Jiloca ?	41.315114	-1.642139	
LUG00634	1	البنبلوني		بنبلونة	Pamplona	42.8116631	-1.6482653	
LUG00896	1	الشاري		الشارة / شارة فليين [بجوفي مرسية]	Sierra	38.561874	-1.660095	
LUG00040	1	اللورقي		لورقة	Lorca	37.683333	-1.7	
LUG00296	1	الطرسوني		طرسونة	Tarazona	41.90287	-1.722125	
LUG00669	1	الجنجالي		جنجالة	Chinchilla de Monte-Aragón	38.919603	-1.726366	
LUG01314	1	الشنتجالي		شنتجالة	Chinchilla de Monte-Aragón	38.919603	-1.726366	
LUG01129	0	الندرومي		ندرومة	Nedroma	35	-1.733333	
LUG00803	1	الينشتي		يناشتة / ينيشتة / ينشتة	Iniesta	39.440873	-1.741918	
LUG01462	1	NA		صخرة قيس	Roca de Qays	42.793889	-1.79	
LUG01198	1	المجلقري		مجلقر	Mojácar	37.140597	-1.850633	
LUG00879	1	القرباقي		قرباقة	Caravaca	38.1041892	-1.8609152	
LUG00697	0	الوجدي		وجدة	Oujda	34.689167	-1.911389	
LUG00906	1	الوركلي		وركل (حصن)	Huércal-Overa	35.4464	-1.943496	
LUG01523	1	القلهري		قلهرة	Calahorra	42.303333	-1.964722	
LUG00714	1	الشقوبسي		شقوبس	Socovos	38.333333	-1.966667	
LUG01282	1	NA		مرسى جبل الفتح	Puerto de Gibraltar	21.1189855	-101.6973217	
LUG01396	0	الأزكوي		أزكي	Azugi/Azougui	20.405278	-13.111111	
LUG00364	1	اليالشي		يالش_قرية	Elche de la Sierra ?	38.448363	-2.048995	
LUG00270	1	البلسي		بلس	Vélez-Rubio	37.649071	-2.0801789	
LUG01411	1	الالغبطي		الغبطة	Cabo de Gata	36.72189	-2.19297	
LUG00718	1	القنتوري		قتورية/ قبتورية / قنتورية	Cantoria	37.352456	-2.193481	
LUG01181	1	الطيبالي		طيبالة	Taibilla (Albacete)	38.1881201	-2.2593466	
LUG00667	1	الشنشي		شنش (حصن)	Senés	37.20249	-2.34366	
LUG00211	1	البرشاني		برشانة	Purchena	37.348056	-2.360556	
LUG01247	1	البلفيقي		بلفيق (حصن)	Velefique	37.1946696	-2.4029645	
LUG00200	1	البلقيني		بلقين	Velefique ?	37.1946696	-2.4029645	
LUG00141	1	السالمي		مدينة سالم	Medinaceli	41.172222	-2.435278	
LUG00593	1	التاجلي		تاجلة (حصن)	Tíjola	37.3457002	-2.4369316	
LUG00042	1	البجاني		بجانة	Pechina	36.915094	-2.440698	
LUG01315	1	الوركري		وركر	Huércal de Almería	36.882369	-2.440755	
LUG01101	1	الحوضي		الحوض	El Aljibe	36.833333	-2.45	
LUG00024	1	المري		المرية	Almería	36.833333	-2.45	
LUG00255	1	NA		قصبة المرية	Alcazaba (Almería)	36.841111	-2.471667	
