idNisba	nombre	nombre_castellano	cat1	gender	nombre_original
NIS00342	الاوربي	al-Awrabī	_NISBA_GEOGRAFICA	m	الاوربي
NIS00502	الآجري	al-Āğurrī	_NISBA_GEOGRAFICA	m	الآجري
NIS00326	الأبدي	al-Ubbadī	_NISBA_GEOGRAFICA	m	الأبدي
NIS00206	الأبذي	al-Ubbaḏī	_NISBA_GEOGRAFICA	m	الأبذي
NIS00619	الأجدابي	al-Ağdabī	_NISBA_GEOGRAFICA	m	الأجدابي
NIS00603	الأركشي	al-Arkušī	_NISBA_GEOGRAFICA	m	الأركشي
NIS00288	الأستجي	al-Astiğğī	_NISBA_GEOGRAFICA	m	الأستجي
NIS00231	الأشبوني	al-Ušbūnī	_NISBA_GEOGRAFICA	m	الأشبوني
NIS00444	الأشتركوني	al-Aštarkūnī	_NISBA_GEOGRAFICA	m	الأشتركوني
NIS00466	الأشكركي	al-Uškurkī	_NISBA_GEOGRAFICA	m	الأشكركي
NIS00449	الأشيري	al-Ašīrī	_NISBA_GEOGRAFICA	m	الأشيري
NIS00181	الأصبهاني	al-Iṣbahānī	_NISBA_GEOGRAFICA	m	الأصبهاني
NIS00275	الأصيلي	al-Aṣīlī	_NISBA_GEOGRAFICA	m	الأصيلي
NIS00023	الأطرابلسي	al-Aṭrābulusī	_NISBA_GEOGRAFICA	m	الأطرابلسي
NIS00480	الأطربي	al-Aṭrabī	_NISBA_GEOGRAFICA	m	الأطربي
NIS00177	الأغريشي	al-Agrašī / Agrīšī	_NISBA_GEOGRAFICA	m	الأغرشي / الأغريشي
NIS00212	الأغماتي	al-Agmātī	_NISBA_GEOGRAFICA	m	الأغماتي
NIS00620	الأقلامي	al-Aqlāmī	_NISBA_GEOGRAFICA	m	الأقلامي
NIS00517	الأقليشي	al-Uqlīšī	_NISBA_GEOGRAFICA	m	الأقليشي
NIS00617	الألشي	al-Alšī	_NISBA_GEOGRAFICA	m	الألشي
