idNisba	nombre	nombre_castellano	cat1
NIS00001	الهمداني	al-Hamdānī	_NISBA_TRIBAL
NIS00003	الهسكوري	al-Haskūrī	_NISBA_TRIBAL
NIS00004	اليحصبي	al-Yaḥṣubī	_NISBA_TRIBAL
NIS00005	اللخمي	al-Laḫmī	_NISBA_TRIBAL
NIS00006	الغافقي	al-Gāfiqī	_NISBA_TRIBAL
NIS00007	الزهري	al-Zuhrī	_NISBA_TRIBAL
NIS00009	الأنصاري	al-Anṣārī	_NISBA_TRIBAL
NIS00010	القيسي	al-Qaysī	_NISBA_TRIBAL
NIS00012	الهواري	al-Hawwārī	_NISBA_TRIBAL
NIS00013	المجري	al-Mağrī	_NISBA_TRIBAL
NIS00014	العبدري	al-ʿAbdarī	_NISBA_TRIBAL
NIS00016	الغساني	al-Gassānī	_NISBA_TRIBAL
NIS00017	المعافري	al-Maʿāfirī	_NISBA_TRIBAL
NIS00018	الشعباني	al-Šaʿbānī	_NISBA_TRIBAL
NIS00020	الشيباني	al-Šaybānī	_NISBA_TRIBAL
NIS00021	الباهلي	al-Bāhilī	_NISBA_TRIBAL
NIS00022	الأزدي	al-Azdī	_NISBA_TRIBAL
NIS00025	البكري	al-Bakrī	_NISBA_TRIBAL
NIS00026	السلمي	al-Sulamī	_NISBA_TRIBAL
NIS00029	العلوي	al-ʽAlawī	_NISBA_TRIBAL
NIS00030	الحسني	al-Ḥasanī	_NISBA_TRIBAL
NIS00031	التجيبي	al-Tuğībī	_NISBA_TRIBAL
NIS00032	الأموي	al-Umawī	_NISBA_TRIBAL
NIS00033	الجهني	al-Ğuhanī	_NISBA_TRIBAL
NIS00034	المرواني	al-Marwānī	_NISBA_TRIBAL
NIS00035	القرشي	al-Qurasī	_NISBA_TRIBAL
NIS00037	المخزومي	al-Maḫzūmī	_NISBA_TRIBAL
NIS00038	اللواتي	al-Lawātī	_NISBA_TRIBAL
NIS00040	الكلبي	al-Kalbī	_NISBA_TRIBAL
NIS00042	الثقفي	al-Ṯaqafī	_NISBA_TRIBAL
NIS00043	الجمحي	al-Ğumaḫī	_NISBA_TRIBAL
NIS00045	القضاعي	al-Quḍāʿī	_NISBA_TRIBAL
