sToponym	eToponym	weight	terrain	safety	meter
RIHA_354E318N_S	NABULUS_352E322N_S	48742	mountain	safe	48742
ZARQA_360E320N_S	AMMAN_359E319N_S	22288	river	dangerous	22288
ZARQA_360E320N_S	ADHRIAT_360E326N_S	67802	desert	normal	67802
ADHRIAT_360E326N_S	ZARQA_360E320N_S	61334	mountain	dangerous	61334
NAWA_360E328N_S	ADHRIAT_360E326N_S	31554	normal	safe	31554
JASIM_360E329N_S	AQABAFIQ_356E327N_S	41808	mountain	safe	41808
JABIYA_360E329N_S	NAWA_360E328N_S	5016	desert	safe	5016
JASIM_360E329N_S	JABIYA_360E329N_S	6380	river	normal	6380
ROUTPOINT0121_362E333N_O	ADHRIAT_360E326N_S	81803	desert	normal	81803
ROUTPOINT0121_362E333N_O	JASIM_360E329N_S	42594	mountain	safe	42594
DIMASHQ_363E335N_S	SUWAYDA_365E326N_S	97452	desert	safe	97452
RUSAFA_387E356N_S	NIHYA_373E344N_S	188149	desert	normal	188149
BUTLAMIYYA_383E355N_S	RUSAFA_387E356N_S	43254	desert	safe	43254
QASTAL_375E350N_S	BUTLAMIYYA_383E355N_S	84816	river	safe	84816
SALAMIYYA_370E350N_S	QASTAL_375E350N_S	47117	mountain	dangerous	47117
FARAYA_369E348N_S	SALAMIYYA_370E350N_S	19536	normal	safe	19536
HIMS_367E347N_S	FARAYA_369E348N_S	24577	mountain	dangerous	24577
SADAD_369E343N_S	SALAMIYYA_370E350N_S	78493	river	safe	78493
QARYATAN_372E342N_S	NIHYA_373E344N_S	28113	river	safe	28113
JARUD_367E338N_S	QARYATAN_372E342N_S	65632	desert	normal	65632
SHAMSIN_367E345N_S	NABK_367E340N_S	57144	river	dangerous	57144
QARA_368E341N_S	SADAD_369E343N_S	17933	river	normal	17933
NABK_367E340N_S	QARA_368E341N_S	18956	mountain	safe	18956
QUTAYYIFA_366E337N_S	NABK_367E340N_S	36087	river	normal	36087
QUTAYYIFA_366E337N_S	JARUD_367E338N_S	14757	normal	safe	14757
DIMASHQ_363E335N_S	QUTAYYIFA_366E337N_S	38245	normal	dangerous	38245
KUSWA_362E333N_S	ROUTPOINT0121_362E333N_O	3057	normal	dangerous	3057
DIMASHQ_363E335N_S	KUSWA_362E333N_S	19212	desert	dangerous	19212
ROUTPOINT0120_362E335N_O	DIMASHQ_363E335N_S	6679	river	dangerous	6679
ZABADANI_360E337N_S	ROUTPOINT0120_362E335N_O	29419	normal	safe	29419
AYNJARR_359E337N_S	ROUTPOINT0120_362E335N_O	39788	mountain	dangerous	39788
AQABARUMMAN_361E338N_S	ZABADANI_360E337N_S	19355	river	dangerous	19355
BALABAKK_361E340N_S	AQABARUMMAN_361E338N_S	15200	normal	normal	15200
BALABAKK_361E340N_S	AYNJARR_359E337N_S	42675	normal	safe	42675
BALABAKK_361E340N_S	ATRABULUS_358E344N_S	66868	mountain	safe	66868
LABWA_363E341N_S	BALABAKK_361E340N_S	24467	normal	normal	24467
JUSIYA_365E344N_S	LABWA_363E341N_S	35926	normal	normal	35926
HIMS_367E347N_S	JUSIYA_365E344N_S	36853	desert	dangerous	36853
HIMS_367E347N_S	SHAMSIN_367E345N_S	23059	mountain	safe	23059
ROUTPOINT0122_359E348N_O	HIMS_367E347N_S	89688	river	dangerous	89688
RASTAN_367E349N_S	HIMS_367E347N_S	21919	mountain	dangerous	21919
HAMA_367E351N_S	RASTAN_367E349N_S	21365	desert	normal	21365
SAWWARAN_367E352N_S	HAMA_367E351N_S	17921	mountain	dangerous	17921
KAFARTAB_366E355N_S	SHAYZAR_365E352N_S	28741	river	normal	28741
TALLMANNAS_367E356N_S	SAWWARAN_367E352N_S	38110	mountain	dangerous	38110
MAARRANUMAN_366E356N_S	KAFARTAB_366E355N_S	16624	normal	dangerous	16624
