uri,transliteration,province_uri,top_type,lon,lat
ABADHA_526E311N_S,Ābāḏaŧ,SW_IRAN_540E294N_R,towns,52.66127,31.1643
ABADHA_537E297N_S,Ābāḏaŧ,SW_IRAN_540E294N_R,towns,53.73617,29.7821
ABAN_552E308N_S,Abān,SW_IRAN_540E294N_R,towns,55.25395,30.88547
ABARKATH_673E397N_S,Abārkaṯ,MAWARANNAHR_656E401N_R,capitals,67.38308,39.79611
ABARQUH_532E311N_S,Abarqūh,SW_IRAN_540E294N_R,towns,53.25737,31.15094
ABARTA_449E332N_S,ʿAbartā,IRAQ_459E319N_R,towns,44.93375,33.20675
ABAR_782E284N_S,Abār,SE_IRAN_656E286N_R,towns,78.2144,28.46951
ABASKUN_540E370N_S,Ābaskūn,NW_IRAN_515E356N_R,towns,54.04327,37.02772
ABBADAN_482E303N_S,ʿAbbādān,IRAQ_459E319N_R,towns,48.27394,30.33563
ABBASIYYA_317E305N_S,al-ʿAbbāsiyyaŧ,MISR_305E292N_R,towns,31.70644,30.53647
ABDAS_473E314N_S,ʿAbdās,IRAQ_459E319N_R,towns,47.33731,31.46283
ABDIN_493E312N_S,ʿAbdīn,SW_IRAN_540E294N_R,waystations,49.31456,31.22889
ABHAR_492E361N_S,Abhar,NW_IRAN_515E356N_R,towns,49.23473,36.15722
ABIWARD_595E372N_S,Abīward,NE_IRAN_606E351N_R,towns,59.59733,37.27
ABKHAN_483E408N_S,al-Abḫān,QABQ_457E413N_R,towns,48.38086,40.88004
ABNASH_039W396N_S,Abnaš,ANDALUS_040E398N_R,towns,-3.91003,39.63212
ABSHAYA_317E264N_S,Abšāyaŧ,MISR_305E292N_R,villages,31.7988,26.47449
ABSHIN_635E352N_S,Abšīn,NE_IRAN_606E351N_R,towns,63.528,35.24882
ABSHUR_574E326N_S,Āb Šūr,SE_IRAN_656E286N_R,waystations,57.40729,32.65943
ABTIA_500E336N_S,Abtiʿaŧ,NW_IRAN_515E356N_R,waystations,50.05422,33.62812
ABUKHASIB_479E304N_S,Abū al-Ḫaṣīb,IRAQ_459E319N_R,towns,47.99265,30.43759
ABUQSHA_619E410N_O,Abūqšaŧ,MAWARANNAHR_656E401N_R,sites,61.95529,41.0484
ABWAB_340E174N_S,al-Abwāb,MISR_305E292N_R,villages,34.09472,17.49927
ABWA_390E232N_S,al-Abwāʾ,CENTRAL_ARABIA_416E227N_R,waystations,39.09484,23.22814
ABYAD_424E318N_S,al-Abyaḍ,CENTRAL_ARABIA_416E227N_R,waystations,42.45438,31.86163
ABYAYN_449E131N_S,Abyāyn,SW_ARABIA_456E158N_R,capitals,44.96348,13.14229
ABZAR_529E282N_S,Abzar,SW_IRAN_540E294N_R,villages,52.94703,28.28084
ADAN_450E127N_S,ʿAdan,SW_ARABIA_456E158N_R,towns,45.03942,12.79365
ADHANA_353E369N_S,Aḏanaŧ,SHAM_363E335N_R,waystations,35.34272,36.96023
ADHARBAYJAN_479E382N_R,Aḏarbayǧān,QABQ_457E413N_R,regions,47.95801,38.24076
ADHNUN_352E333N_S,ʿAḏnūn,SHAM_363E335N_R,towns,35.2662,33.39418
ADHRAMA_417E369N_S,Aḏramaŧ,JAZIRA_420E364N_R,towns,41.72002,36.99109
ADHRIAT_360E326N_S,Aḏriʿāt,SHAM_363E335N_R,capitals,36.09087,32.61046
ADHRUH_357E303N_S,Aḏrūḥ,SHAM_363E335N_R,capitals,35.75502,30.33962
ADRASKAR_622E335N_S,Adraskar,NE_IRAN_606E351N_R,towns,62.24983,33.59424
AFRAHUN_309E311N_R,al-Afrāḥūn,MISR_305E292N_R,regions,30.91239,31.19144
AFRIDHIN_517E354N_S,Afrīḏīn,NW_IRAN_515E356N_R,villages,51.77466,35.42345
AHAR_471E384N_S,Ahar,QABQ_457E413N_R,towns,47.14386,38.45223
AHNAS_309E291N_S,Ahnās,MISR_305E292N_R,towns,30.95992,29.13124
AHQAF_508E193N_R,al-Aḥqāf,SE_ARABIA_556E220N_R,regions,50.8587,19.38865
AHSA_495E253N_S,al-Aḥsāʾ,SE_ARABIA_556E220N_R,capitals,49.54137,25.34929
AHWAR_465E136N_R,Aḥwar,SW_ARABIA_456E158N_R,regions,46.54442,13.67538
AHWAR_466E135N_S,Aḥwar,SW_ARABIA_456E158N_R,towns,46.61972,13.56967
AHWAZ_486E313N_S,al-Ahwāz,SW_IRAN_540E294N_R,metropoles,48.69059,31.32986
AJARUD_323E300N_S,ʿAǧarūd,MISR_305E292N_R,waystations,32.38039,30.05828
AJDABIYYA_202E304N_S,Aǧdābiyyaŧ,BARQA_221E314N_R,towns,20.20218,30.46697
AJFUR_429E274N_S,al-Aǧfur,CENTRAL_ARABIA_416E227N_R,waystations,42.97781,27.44255
AJGH_569E375N_S,Aǧġ,NW_IRAN_515E356N_R,villages,56.95205,37.51437
AJWALI_374E298N_S,al-Aǧwalī,CENTRAL_ARABIA_416E227N_R,waystations,37.4317,29.87858
AKHDAMIYYA_422E322N_S,al-Aḫdamiyyaŧ,CENTRAL_ARABIA_416E227N_R,waystations,42.23928,32.28927
AKHILLA_451E132N_R,Aḫillaŧ,SW_ARABIA_456E158N_R,regions,45.17945,13.2032
AKHLAT_425E387N_S,Aḫlāṭ,QABQ_457E413N_R,towns,42.51044,38.76551
AKHMIM_317E265N_S,Aḫmīm,MISR_305E292N_R,towns,31.72957,26.56301
AKHSHIKATH_713E409N_S,Aḫšīkaṯ,MAWARANNAHR_656E401N_R,capitals,71.36392,40.91733
AKHSISAK_652E378N_S,Aḫsīsak,MAWARANNAHR_656E401N_R,capitals,65.26937,37.888
AKHUR_557E391N_S,Āḫur,NW_IRAN_515E356N_R,capitals,55.71277,39.19825
AKHYAS_130E381N_S,Aḫyās,SIQILIYYA_145E375N_R,towns,13.09201,38.13882
AKKA_350E329N_S,ʿAkkaŧ,SHAM_363E335N_R,towns,35.07559,32.92878
ALHAM_522E365N_S,Alham,NW_IRAN_515E356N_R,towns,52.23414,36.56405
ALHAN_440E148N_R,Alhān,SW_ARABIA_456E158N_R,regions,44.07982,14.80399
ALLAQI_328E230N_S,ʿAllaqī,MISR_305E292N_R,towns,32.87404,23.01969
ALTH_440E340N_S,ʿAlṯ ,IRAQ_459E319N_R,towns,44.08916,34.02656
ALUS_424E339N_S,Ālūs,JAZIRA_420E364N_R,towns,42.41353,33.98559
AMASHIYYA_439E165N_S,al-Aʿmašiyyaŧ,SW_ARABIA_456E158N_R,waystations,43.95032,16.56721
AMAWAS_349E318N_S,ʿAmawās,SHAM_363E335N_R,villages,34.97656,31.84394
AMID_402E379N_S,Āmid,JAZIRA_420E364N_R,capitals,40.21323,37.9151
AMLIL_029W352N_S,Amlīl,MAGHRIB_045E323N_R,towns,-2.96861,35.29761
AMMAN_359E319N_S,ʿAmmān,SHAM_363E335N_R,towns,35.91903,31.93113
AMQ_364E363N_S,ʿAmq,SHAM_363E335N_R,waystations,36.47102,36.38345
AMUL_524E364N_S,Āmul,NW_IRAN_515E356N_R,capitals,52.40859,36.42256
AMUL_635E390N_S,Āmul,NE_IRAN_606E351N_R,towns,63.51255,39.06795
AMZAH_642E399N_S,Amzah,MAWARANNAHR_656E401N_R,waystations,64.25722,39.90472
ANAFA_357E343N_S,Anafaŧ,SHAM_363E335N_R,towns,35.73678,34.35634
ANAK_367E323N_S,al-Aʿnak,CENTRAL_ARABIA_416E227N_R,waystations,36.79381,32.31179
ANA_419E344N_S,ʿĀnaŧ,JAZIRA_420E364N_R,towns,41.95904,34.43481
ANBAR_437E333N_S,al-Anbār,IRAQ_459E319N_R,towns,43.7015,33.39492
ANBAR_659E362N_S,al-Anbār,NE_IRAN_606E351N_R,towns,65.94751,36.20578
ANDAJARAGH_691E372N_S,Andāǧārāġ,MAWARANNAHR_656E401N_R,towns,69.17687,37.26841
ANDAKHUDH_651E369N_S,Andaḫūḏ,NE_IRAN_606E351N_R,towns,65.16655,36.95541
ANDARAB_473E401N_S,al-Andarāb,QABQ_457E413N_R,towns,47.33087,40.10841
ANDARAB_693E356N_S,Andarāb,NE_IRAN_606E351N_R,towns,69.36909,35.68835
ANDIKAN_724E408N_S,Andikān,MAWARANNAHR_656E401N_R,towns,72.45652,40.81221
ANJIRA_544E321N_S,Anǧīraŧ,SE_IRAN_656E286N_R,villages,54.41329,32.14014
ANSINA_308E279N_S,Anṣinā,MISR_305E292N_R,towns,30.84685,27.90125
ANS_443E144N_R,ʿAns,SW_ARABIA_456E158N_R,regions,44.37788,14.43955
ANTAKIYYA_361E361N_S,Anṭākiyyaŧ,SHAM_363E335N_R,towns,36.18418,36.19718
ANTARTUS_359E348N_S,Anṭarṭūs,SHAM_363E335N_R,towns,35.90356,34.89985
AQABAFIQ_356E327N_S,ʿAqabaŧ al-Fīq,SHAM_363E335N_R,villages,35.67655,32.77421
AQABARUMMAN_361E338N_S,ʿAqabaŧ al-Rummān,SHAM_363E335N_R,waystations,36.18816,33.88074
AQABA_251E314N_S,al-ʿAqabaŧ,BARQA_221E314N_R,waystations,25.18308,31.42889
AQABA_436E300N_S,al-ʿAqabaŧ,CENTRAL_ARABIA_416E227N_R,waystations,43.61471,30.09074
AQARQUF_441E333N_R,ʿAqarqūf,IRAQ_459E319N_R,regions,44.18108,33.34374
AQIR_348E318N_S,ʿĀqir,SHAM_363E335N_R,villages,34.80861,31.86252
AQRA_378E271N_S,al-Aqrāʿ,CENTRAL_ARABIA_416E227N_R,waystations,37.83126,27.15186
AQSUR_326E257N_S,al-Aqṣūr,MISR_305E292N_R,towns,32.61253,25.72063
ARABAN_406E360N_S,ʿArabān,JAZIRA_420E364N_R,capitals,40.69403,36.05814
ARAFAT_402E213N_S,ʿArafāt,CENTRAL_ARABIA_416E227N_R,villages,40.20316,21.32282
ARASKAN_634E357N_S,Araskan,NE_IRAN_606E351N_R,waystations,63.44735,35.74074
ARA_355E280N_S,al-Aʿrāʾ,CENTRAL_ARABIA_416E227N_R,towns,35.57504,28.06253
ARA_439E126N_S,ʿĀraŧ,SW_ARABIA_456E158N_R,villages,43.91477,12.66455
ARBILAKH_698E408N_S,Arbilaḫ,MAWARANNAHR_656E401N_R,towns,69.83739,40.8701
ARBUNA_030E431N_S,Arbūnaŧ,ANDALUS_040E398N_R,towns,3.00118,43.18643
ARDABIL_483E382N_S,Ardabīl,QABQ_457E413N_R,metropoles,48.30651,38.23604
ARDAKAN_570E279N_S,Ardakān,SW_IRAN_540E294N_R,towns,57.0129,27.93413
ARDAKHIWAH_602E421N_S,Ardaḫīwah,MAWARANNAHR_656E401N_R,towns,60.25053,42.19314
ARDALANKATH_722E412N_S,Ardalānkaṯ,MAWARANNAHR_656E401N_R,towns,72.25505,41.28774
ARDHAKHUSHMITHAN_602E416N_S,Arḏaḫušmīṯan,MAWARANNAHR_656E401N_R,towns,60.2021,41.64105
ARDISTAN_523E333N_S,Ardistān,NW_IRAN_515E356N_R,towns,52.36669,33.37701
ARFAJA_386E299N_S,ʿArfaǧāʾ,CENTRAL_ARABIA_416E227N_R,waystations,38.67294,29.99999
ARFAJA_487E276N_S,ʿArfaǧaŧ,SE_ARABIA_556E220N_R,waystations,48.72446,27.68528
ARHAB_443E158N_R,Arḥab,SW_ARABIA_456E158N_R,regions,44.39237,15.82412
ARHAN_688E372N_S,Ārhan,NE_IRAN_606E351N_R,towns,68.86234,37.23952
ARIQA_437E173N_S,ʿAriqaŧ,SW_ARABIA_456E158N_R,waystations,43.71306,17.31174
ARISH_045W323N_S,ʿArīš,MAGHRIB_045E323N_R,towns,-4.52149,32.30201
ARISH_338E311N_S,al-ʿArīš,MISR_305E292N_R,towns,33.80807,31.12453
ARJAMUSH_358E338N_S,ʿArǧamūš,SHAM_363E335N_R,towns,35.89165,33.86315
ARJIDUNA_044W370N_S,Arǧidūnaŧ,ANDALUS_040E398N_R,towns,-4.42886,37.08687
ARJIKUK_014W352N_S,Arǧikūk,MAGHRIB_045E323N_R,towns,-1.45702,35.28205
ARJISH_433E390N_S,Arǧīš,QABQ_457E413N_R,towns,43.35895,39.0223
ARJUMAN_526E311N_R,Arǧumān,SW_IRAN_540E294N_R,regions,52.62743,31.1799
ARJUNA_040W379N_S,Arǧūnaŧ,ANDALUS_040E398N_R,towns,-4.053,37.9204
ARJ_392E238N_O,al-ʿArǧ,CENTRAL_ARABIA_416E227N_R,sites,39.20944,23.85851
ARKU_072E360N_S,Arkū,IFRIQIYYA_78E349N_R,towns,7.20287,36.05429
ARMABIL_663E262N_S,Armābīl,SE_IRAN_656E286N_R,villages,66.38343,26.23769
ARMANT_325E256N_S,Armant,MISR_305E292N_R,towns,32.51795,25.64017
ARMINIYYA_441E394N_R,Arminiyyaŧ,QABQ_457E413N_R,regions,44.11256,39.47331
ARQA_360E345N_S,ʿArqaŧ,SHAM_363E335N_R,towns,36.073,34.52991
ARQA_379E383N_S,ʿArqaŧ,JAZIRA_420E364N_R,waystations,37.96251,38.36373
